Acinonyx_jubatus,aciJub1_HiC.fasta.gz,aciJub1_HiC.fasta_v2.functional.gff3.gz,https://dnazoo.s3.wasabisys.com/Acinonyx_jubatus/README.json,https://dnazoo.s3.wasabisys.com/Acinonyx_jubatus/aciJub1_HiC.fasta.gz,https://dnazoo.s3.wasabisys.com/Acinonyx_jubatus/aciJub1_HiC.fasta_v2.functional.gff3.gz
Acropora_millepora,amil_sf_1.1_HiC.fasta.gz,,https://dnazoo.s3.wasabisys.com/Acropora_millepora/README.json,https://dnazoo.s3.wasabisys.com/Acropora_millepora/amil_sf_1.1_HiC.fasta.gz,
Addax_nasomaculatus,ASM1959352v1_HiC.fasta.gz,ASM1959352v1_HiC.fasta_v2.functional.gff3.gz,https://dnazoo.s3.wasabisys.com/Addax_nasomaculatus/README.json,https://dnazoo.s3.wasabisys.com/Addax_nasomaculatus/ASM1959352v1_HiC.fasta.gz,https://dnazoo.s3.wasabisys.com/Addax_nasomaculatus/ASM1959352v1_HiC.fasta_v2.functional.gff3.gz
Aedes_aegypti.csv
Aedes_aegypti__AaegL4.csv
Aedes_aegypti__AaegL5.0.csv
Aeorestes_cinereus,L.cinereus_Cryan_1219_p1.0_HiC.fasta.gz,L.cinereus_Cryan_1219_p1.0_HiC.fasta_v2.functional.gff3.gz,https://dnazoo.s3.wasabisys.com/Aeorestes_cinereus/README.json,https://dnazoo.s3.wasabisys.com/Aeorestes_cinereus/L.cinereus_Cryan_1219_p1.0_HiC.fasta.gz,https://dnazoo.s3.wasabisys.com/Aeorestes_cinereus/L.cinereus_Cryan_1219_p1.0_HiC.fasta_v2.functional.gff3.gz
Agapostemon_virescens.csv
Agaricus_bisporus,Agabi_varbisH97_2_HiC.fasta.gz,,https://dnazoo.s3.wasabisys.com/Agaricus_bisporus/README.json,https://dnazoo.s3.wasabisys.com/Agaricus_bisporus/Agabi_varbisH97_2_HiC.fasta.gz,
Ailurus_fulgens,ASM200746v1_HiC.fasta.gz,ASM200746v1_HiC.fasta_v2.functional.gff3.gz,https://dnazoo.s3.wasabisys.com/Ailurus_fulgens/README.json,https://dnazoo.s3.wasabisys.com/Ailurus_fulgens/ASM200746v1_HiC.fasta.gz,https://dnazoo.s3.wasabisys.com/Ailurus_fulgens/ASM200746v1_HiC.fasta_v2.functional.gff3.gz
Allenopithecus_nigroviridis,Allenopithecus_nigroviridis_HiC.fasta.gz,Allenopithecus_nigroviridis_HiC.fasta_v2.functional.gff3.gz,https://dnazoo.s3.wasabisys.com/Allenopithecus_nigroviridis/README.json,https://dnazoo.s3.wasabisys.com/Allenopithecus_nigroviridis/Allenopithecus_nigroviridis_HiC.fasta.gz,https://dnazoo.s3.wasabisys.com/Allenopithecus_nigroviridis/Allenopithecus_nigroviridis_HiC.fasta_v2.functional.gff3.gz
Alligator_mississippiensis,ASM28112v4_HiC.fasta.gz,,https://dnazoo.s3.wasabisys.com/Alligator_mississippiensis/README.json,https://dnazoo.s3.wasabisys.com/Alligator_mississippiensis/ASM28112v4_HiC.fasta.gz,
Alligator_sinensis,ASM45574v1_HiC.fasta.gz,,https://dnazoo.s3.wasabisys.com/Alligator_sinensis/README.json,https://dnazoo.s3.wasabisys.com/Alligator_sinensis/ASM45574v1_HiC.fasta.gz,
Aonyx_cinereus,Aonyx_cinereus_HiC.fasta.gz,Aonyx_cinereus_HiC.fasta_v2.functional.gff3.gz,https://dnazoo.s3.wasabisys.com/Aonyx_cinereus/README.json,https://dnazoo.s3.wasabisys.com/Aonyx_cinereus/Aonyx_cinereus_HiC.fasta.gz,https://dnazoo.s3.wasabisys.com/Aonyx_cinereus/Aonyx_cinereus_HiC.fasta_v2.functional.gff3.gz
Aplysia_californica,AplCal3.0_HiC.fasta.gz,,https://dnazoo.s3.wasabisys.com/Aplysia_californica/README.json,https://dnazoo.s3.wasabisys.com/Aplysia_californica/AplCal3.0_HiC.fasta.gz,
